Step	Sf2	Ss2	tau_f	tau_s	f
{count}	0.1657050094508281	0.8319469862702861	3.959626629525536e-11	6.155176915580256e-09	-3.1220357392486013
{count}	0.1657050094508281	0.8319469862702861	3.959626629525536e-11	6.155176915580256e-09	-3.1220357392486013
{count}	0.1657050094508281	0.8319469862702861	3.959626629525536e-11	6.155176915580256e-09	-3.1220357392486013
{count}	0.1657050094508281	0.8319469862702861	3.959626629525536e-11	6.155176915580256e-09	-3.1220357392486013
{count}	0.1657050094508281	0.8319469862702861	3.959626629525536e-11	6.155176915580256e-09	-3.1220357392486013
{count}	0.05750306350436962	0.9276455097238014	3.930557781490609e-11	6.006073728159363e-09	-1.7215389655022406
{count}	0.08859696016543855	0.8975707080686823	3.767199362998482e-11	5.737732377743543e-09	-1.6420931995887968
{count}	0.08859696016543855	0.8975707080686823	3.767199362998482e-11	5.737732377743543e-09	-1.6420931995887968
{count}	0.08859696016543855	0.8975707080686823	3.767199362998482e-11	5.737732377743543e-09	-1.6420931995887968
{count}	0.20269735294016472	0.8564796699420153	4.2286719580994747e-11	4.440487097517113e-09	-0.9024902957430658
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.2008285374776344	0.8499650347340905	4.162689089006759e-11	4.381601747691816e-09	-0.8593943451402175
{count}	0.18373652005915958	0.8368980717401291	4.197700975998363e-11	4.76515213730019e-09	-0.746102256211536
{count}	0.18373652005915958	0.8368980717401291	4.197700975998363e-11	4.76515213730019e-09	-0.746102256211536
{count}	0.18373652005915958	0.8368980717401291	4.197700975998363e-11	4.76515213730019e-09	-0.746102256211536
{count}	0.18373652005915958	0.8368980717401291	4.197700975998363e-11	4.76515213730019e-09	-0.746102256211536
{count}	0.1713109993333668	0.8371279733921756	4.1790303515197734e-11	4.643018188282098e-09	-0.516301564755584
{count}	0.1713109993333668	0.8371279733921756	4.1790303515197734e-11	4.643018188282098e-09	-0.516301564755584
{count}	0.1713109993333668	0.8371279733921756	4.1790303515197734e-11	4.643018188282098e-09	-0.516301564755584
{count}	0.1603921792049407	0.8704540756357637	4.255053771499443e-11	4.523337787791876e-09	-0.25202995362732095
{count}	0.1603921792049407	0.8704540756357637	4.255053771499443e-11	4.523337787791876e-09	-0.25202995362732095
{count}	0.1603921792049407	0.8704540756357637	4.255053771499443e-11	4.523337787791876e-09	-0.25202995362732095
{count}	0.1603921792049407	0.8704540756357637	4.255053771499443e-11	4.523337787791876e-09	-0.25202995362732095
{count}	0.17155771514334872	0.8655440011338482	4.2441013875922586e-11	4.44790144268881e-09	-0.26796498098071664
{count}	0.17155771514334872	0.8655440011338482	4.2441013875922586e-11	4.44790144268881e-09	-0.26796498098071664
{count}	0.4653316676482182	0.7363561142757504	3.955935631150932e-11	2.4631124110027364e-09	-0.6872279697618598
{count}	0.4653316676482182	0.7363561142757504	3.955935631150932e-11	2.4631124110027364e-09	-0.6872279697618598
{count}	0.4653316676482182	0.7363561142757504	3.955935631150932e-11	2.4631124110027364e-09	-0.6872279697618598
{count}	0.4653316676482182	0.7363561142757504	3.955935631150932e-11	2.4631124110027364e-09	-0.6872279697618598
{count}	0.4653316676482182	0.7363561142757504	3.955935631150932e-11	2.4631124110027364e-09	-0.6872279697618598
{count}	0.4653316676482182	0.7363561142757504	3.955935631150932e-11	2.4631124110027364e-09	-0.6872279697618598
{count}	0.4653316676482182	0.7363561142757504	3.955935631150932e-11	2.4631124110027364e-09	-0.6872279697618598
{count}	0.46857476310939983	0.7294929745820948	3.9160997447078427e-11	2.489086217278818e-09	-0.8260343718433774
{count}	0.46954171975933184	0.7264283718812939	3.9677318966429704e-11	2.632975245157011e-09	-0.8250895959910666
{count}	0.5491976116254793	0.7876379065561068	4.312315088399606e-11	1.6890207359788432e-09	-1.2016334166681388
{count}	0.5491976116254793	0.7876379065561068	4.312315088399606e-11	1.6890207359788432e-09	-1.2016334166681388
{count}	0.5491976116254793	0.7876379065561068	4.312315088399606e-11	1.6890207359788432e-09	-1.2016334166681388
{count}	0.5304250824095532	0.8053784757665223	4.365604163432307e-11	1.7242855470695165e-09	-1.2010815628158253
{count}	0.5845459371220519	0.83314265380269	4.539840347280152e-11	1.1934572411160642e-09	-1.434319734989539
{count}	0.5845459371220519	0.83314265380269	4.539840347280152e-11	1.1934572411160642e-09	-1.434319734989539
{count}	0.5845459371220519	0.83314265380269	4.539840347280152e-11	1.1934572411160642e-09	-1.434319734989539
{count}	0.5845459371220519	0.83314265380269	4.539840347280152e-11	1.1934572411160642e-09	-1.434319734989539
{count}	0.6010572985355526	0.8458648013332631	4.5886871676325564e-11	8.762527269764854e-10	-1.546580643658263
{count}	0.6124319090637451	0.8508399654250023	4.626178253738135e-11	7.960938493320301e-10	-1.5872859319804435
{count}	0.6432104865031264	0.8779007425961302	4.798777410044418e-11	6.581866231525774e-10	-1.812508381350691
{count}	0.6407374116304111	0.8673551123748596	4.759477266507846e-11	7.232458533878446e-10	-1.769976945682189
{count}	0.6407374116304111	0.8673551123748596	4.759477266507846e-11	7.232458533878446e-10	-1.769976945682189
{count}	0.6407374116304111	0.8673551123748596	4.759477266507846e-11	7.232458533878446e-10	-1.769976945682189
{count}	0.6407374116304111	0.8673551123748596	4.759477266507846e-11	7.232458533878446e-10	-1.769976945682189
{count}	0.6422880040081446	0.8686264342152045	4.768035270883181e-11	7.180146155234253e-10	-1.7816268938549273
{count}	0.6422880040081446	0.8686264342152045	4.768035270883181e-11	7.180146155234253e-10	-1.7816268938549273
{count}	0.7664960980520078	0.6653151925105674	4.093349419348979e-11	1.3229723703189168e-09	-1.6842148783218291
{count}	0.7664960980520078	0.6653151925105674	4.093349419348979e-11	1.3229723703189168e-09	-1.6842148783218291
{count}	0.7664960980520078	0.6653151925105674	4.093349419348979e-11	1.3229723703189168e-09	-1.6842148783218291
{count}	0.7664960980520078	0.6653151925105674	4.093349419348979e-11	1.3229723703189168e-09	-1.6842148783218291
{count}	0.7653247942083092	0.683179329806268	4.108376273310361e-11	1.7444885471519485e-09	-1.8114208481520473
{count}	0.7653247942083092	0.683179329806268	4.108376273310361e-11	1.7444885471519485e-09	-1.8114208481520473
{count}	0.7653247942083092	0.683179329806268	4.108376273310361e-11	1.7444885471519485e-09	-1.8114208481520473
{count}	0.7653247942083092	0.683179329806268	4.108376273310361e-11	1.7444885471519485e-09	-1.8114208481520473
{count}	0.7653247942083092	0.683179329806268	4.108376273310361e-11	1.7444885471519485e-09	-1.8114208481520473
{count}	0.7674354214732984	0.6656483105235822	4.035731678121985e-11	1.7899479287682423e-09	-1.7604078113688162
{count}	0.8149409994399173	0.5854430961770425	3.673694348853956e-11	2.418696044272704e-09	-1.8528330165311389
{count}	0.8149409994399173	0.5854430961770425	3.673694348853956e-11	2.418696044272704e-09	-1.8528330165311389
{count}	0.8681341330724204	0.4956353963789909	3.268312478766175e-11	3.122720370694213e-09	-1.9563237327721996
{count}	0.8681341330724204	0.4956353963789909	3.268312478766175e-11	3.122720370694213e-09	-1.9563237327721996
{count}	0.7995593325123175	0.6019841973279216	3.450712789303185e-11	3.684152794089156e-09	-2.230124732618468
{count}	0.8331936273382488	0.5624395307824248	3.2325928768960256e-11	4.033634709059279e-09	-2.430660742038093
{count}	0.8331936273382488	0.5624395307824248	3.2325928768960256e-11	4.033634709059279e-09	-2.430660742038093
{count}	0.8331936273382488	0.5624395307824248	3.2325928768960256e-11	4.033634709059279e-09	-2.430660742038093
{count}	0.8331936273382488	0.5624395307824248	3.2325928768960256e-11	4.033634709059279e-09	-2.430660742038093
{count}	0.8340268374562926	0.5599656128216078	3.2356390201930803e-11	3.989416278537868e-09	-2.409002972612128
{count}	0.8785937779250786	0.567279025632448	3.2557682179624856e-11	5.490693748221636e-09	-3.0544468380075873
{count}	0.8785937779250786	0.567279025632448	3.2557682179624856e-11	5.490693748221636e-09	-3.0544468380075873
{count}	0.8638350306851971	0.5678938196565644	3.391968461738795e-11	4.4937809472993985e-09	-2.6607025159434357
{count}	0.8638350306851971	0.5678938196565644	3.391968461738795e-11	4.4937809472993985e-09	-2.6607025159434357
{count}	0.8638350306851971	0.5678938196565644	3.391968461738795e-11	4.4937809472993985e-09	-2.6607025159434357
{count}	0.8638350306851971	0.5678938196565644	3.391968461738795e-11	4.4937809472993985e-09	-2.6607025159434357
{count}	0.8638350306851971	0.5678938196565644	3.391968461738795e-11	4.4937809472993985e-09	-2.6607025159434357
{count}	0.890558705665272	0.6740334795419749	4.6691191879940284e-11	3.2767558152381733e-09	-2.971242715896464
{count}	0.890558705665272	0.6740334795419749	4.6691191879940284e-11	3.2767558152381733e-09	-2.971242715896464
{count}	0.890558705665272	0.6740334795419749	4.6691191879940284e-11	3.2767558152381733e-09	-2.971242715896464
{count}	0.890558705665272	0.6740334795419749	4.6691191879940284e-11	3.2767558152381733e-09	-2.971242715896464
{count}	0.8883234425239878	0.6607576989116788	4.5524414961402884e-11	3.301740813186631e-09	-2.9103364417603586
{count}	0.8883234425239878	0.6607576989116788	4.5524414961402884e-11	3.301740813186631e-09	-2.9103364417603586
{count}	0.8490386611241824	0.6768202491868969	4.4928018162975305e-11	3.0968161661216592e-09	-2.6362443873785013
{count}	0.8490386611241824	0.6768202491868969	4.4928018162975305e-11	3.0968161661216592e-09	-2.6362443873785013
{count}	0.8490386611241824	0.6768202491868969	4.4928018162975305e-11	3.0968161661216592e-09	-2.6362443873785013
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8704572013846307	0.7269155839837507	4.733641111532799e-11	4.643584308298155e-09	-3.5008164317392083
{count}	0.8425618498488947	0.7151058864184963	4.4417760956972915e-11	3.875112600537049e-09	-2.869544582941057
{count}	0.8652312115789405	0.7645438497889877	4.802181306137689e-11	3.8479438407291436e-09	-3.2217575331665493
{count}	0.8652312115789405	0.7645438497889877	4.802181306137689e-11	3.8479438407291436e-09	-3.2217575331665493
{count}	0.8652312115789405	0.7645438497889877	4.802181306137689e-11	3.8479438407291436e-09	-3.2217575331665493
{count}	0.8652312115789405	0.7645438497889877	4.802181306137689e-11	3.8479438407291436e-09	-3.2217575331665493
{count}	0.8652312115789405	0.7645438497889877	4.802181306137689e-11	3.8479438407291436e-09	-3.2217575331665493
{count}	0.8652312115789405	0.7645438497889877	4.802181306137689e-11	3.8479438407291436e-09	-3.2217575331665493
{count}	0.8652312115789405	0.7645438497889877	4.802181306137689e-11	3.8479438407291436e-09	-3.2217575331665493
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.8659963259749507	0.7975624265155004	4.939886299096145e-11	4.023364070022652e-09	-3.4274346894478995
{count}	0.865621684723271	0.8010167066031331	4.9646913749797904e-11	4.012665784723766e-09	-3.4367007409492856
{count}	0.865621684723271	0.8010167066031331	4.9646913749797904e-11	4.012665784723766e-09	-3.4367007409492856
{count}	0.865621684723271	0.8010167066031331	4.9646913749797904e-11	4.012665784723766e-09	-3.4367007409492856
{count}	0.865621684723271	0.8010167066031331	4.9646913749797904e-11	4.012665784723766e-09	-3.4367007409492856
{count}	0.865621684723271	0.8010167066031331	4.9646913749797904e-11	4.012665784723766e-09	-3.4367007409492856
{count}	0.865621684723271	0.8010167066031331	4.9646913749797904e-11	4.012665784723766e-09	-3.4367007409492856
{count}	0.865621684723271	0.8010167066031331	4.9646913749797904e-11	4.012665784723766e-09	-3.4367007409492856
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8786738606348007	0.8154549072383723	4.9473041025865455e-11	3.474804562343968e-09	-3.4549480718098193
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8857130639876488	0.855188082446968	4.9280613637018474e-11	2.6844571955219382e-09	-3.386589639382038
{count}	0.8836921160747807	0.8538236083620213	4.981465807003181e-11	2.9065980574629646e-09	-3.398588737936335
{count}	0.8848278167803776	0.8537613922955959	4.982322463509617e-11	2.9075598721554092e-09	-3.4120231535461643
{count}	0.8848278167803776	0.8537613922955959	4.982322463509617e-11	2.9075598721554092e-09	-3.4120231535461643
{count}	0.8848278167803776	0.8537613922955959	4.982322463509617e-11	2.9075598721554092e-09	-3.4120231535461643
{count}	0.8850454800138928	0.8571188622132321	4.98518656518466e-11	2.5938960707798803e-09	-2.954445586141288
{count}	0.8850454800138928	0.8571188622132321	4.98518656518466e-11	2.5938960707798803e-09	-2.954445586141288
{count}	0.8850454800138928	0.8571188622132321	4.98518656518466e-11	2.5938960707798803e-09	-2.954445586141288
{count}	0.8850454800138928	0.8571188622132321	4.98518656518466e-11	2.5938960707798803e-09	-2.954445586141288
{count}	0.850320145439121	0.8709371949672092	4.981279148092641e-11	3.5720420521345303e-09	-2.834474265289882
{count}	0.850320145439121	0.8709371949672092	4.981279148092641e-11	3.5720420521345303e-09	-2.834474265289882
{count}	0.850320145439121	0.8709371949672092	4.981279148092641e-11	3.5720420521345303e-09	-2.834474265289882
{count}	0.850320145439121	0.8709371949672092	4.981279148092641e-11	3.5720420521345303e-09	-2.834474265289882
{count}	0.850320145439121	0.8709371949672092	4.981279148092641e-11	3.5720420521345303e-09	-2.834474265289882
{count}	0.8581901604074492	0.9110588761161735	4.832487884257985e-11	2.17643622660753e-09	-3.124129094690666
{count}	0.8581901604074492	0.9110588761161735	4.832487884257985e-11	2.17643622660753e-09	-3.124129094690666
{count}	0.851564171142348	0.8772792925117318	4.957759477879706e-11	3.351436433782352e-09	-2.8802604619221044
{count}	0.851564171142348	0.8772792925117318	4.957759477879706e-11	3.351436433782352e-09	-2.8802604619221044
{count}	0.851564171142348	0.8772792925117318	4.957759477879706e-11	3.351436433782352e-09	-2.8802604619221044
{count}	0.851564171142348	0.8772792925117318	4.957759477879706e-11	3.351436433782352e-09	-2.8802604619221044
{count}	0.851564171142348	0.8772792925117318	4.957759477879706e-11	3.351436433782352e-09	-2.8802604619221044
{count}	0.851564171142348	0.8772792925117318	4.957759477879706e-11	3.351436433782352e-09	-2.8802604619221044
{count}	0.851564171142348	0.8772792925117318	4.957759477879706e-11	3.351436433782352e-09	-2.8802604619221044
