Step	Sf2	Ss2	tau_f	tau_s	f
0	0.5933939342985186	0.7800671818525865	7.859391962149978e-12	8.208214627423245e-09	-7.473251860473051
1	0.5933939342985186	0.7800671818525865	7.859391962149978e-12	8.208214627423245e-09	-7.473251860473051
2	0.6478238204817242	0.7792536854288804	6.8255837221787396e-12	7.214450260602218e-09	-6.642436451303274
3	0.6613284005612068	0.8163597552444215	6.751217988086828e-12	5.779816990115588e-09	-5.795841679117874
4	0.6730002856625237	0.8313822283436284	6.770988991521522e-12	5.5977008526739015e-09	-5.9577192933071785
5	0.6914520359396933	0.8551308276286564	6.802244406986918e-12	5.309798644903064e-09	-6.213626996866395
6	0.7583318704106918	0.8981390411856262	6.882014713887505e-12	3.793482592753678e-09	-4.507532589217327
7	0.7708226312857351	0.9061714371305631	6.896912953937069e-12	3.510288990852633e-09	-4.188895178632314
8	0.7820564275194359	0.9940289103178588	6.4942807637921455e-12	3.287750799362078e-09	-2.856114431668709
9	0.7820564275194359	0.9940289103178588	6.4942807637921455e-12	3.287750799362078e-09	-2.856114431668709
10	0.7725164785419945	0.9525290949757428	6.871165561048879e-12	3.1336956927903814e-09	-2.5441728429531407
11	0.7725164785419945	0.9525290949757428	6.871165561048879e-12	3.1336956927903814e-09	-2.5441728429531407
12	0.7725164785419945	0.9525290949757428	6.871165561048879e-12	3.1336956927903814e-09	-2.5441728429531407
13	0.7740055554596711	0.9524276057576272	6.867975332062456e-12	3.131707113628276e-09	-2.5645831843399196
14	0.7547790134955352	0.8701326708915331	7.616184283602522e-12	2.82654179245758e-09	-1.9416761478429878
15	0.7547790134955352	0.8701326708915331	7.616184283602522e-12	2.82654179245758e-09	-1.9416761478429878
16	0.7547790134955352	0.8701326708915331	7.616184283602522e-12	2.82654179245758e-09	-1.9416761478429878
17	0.7547790134955352	0.8701326708915331	7.616184283602522e-12	2.82654179245758e-09	-1.9416761478429878
18	0.7547790134955352	0.8701326708915331	7.616184283602522e-12	2.82654179245758e-09	-1.9416761478429878
19	0.7547790134955352	0.8701326708915331	7.616184283602522e-12	2.82654179245758e-09	-1.9416761478429878
20	0.7547790134955352	0.8701326708915331	7.616184283602522e-12	2.82654179245758e-09	-1.9416761478429878
21	0.7399779224984621	0.8125376297231923	5.4581711535529635e-12	3.2325049219607946e-09	-1.8574083590172417
22	0.7399779224984621	0.8125376297231923	5.4581711535529635e-12	3.2325049219607946e-09	-1.8574083590172417
23	0.7321164125269303	0.7799046569623101	5.69451499247312e-12	2.9838162327389026e-09	-1.5745310731738635
24	0.7321164125269303	0.7799046569623101	5.69451499247312e-12	2.9838162327389026e-09	-1.5745310731738635
25	0.7027427391815148	0.6671141196706896	3.74321171295701e-12	1.7934629573829049e-09	-0.6945113588761546
26	0.7027427391815148	0.6671141196706896	3.74321171295701e-12	1.7934629573829049e-09	-0.6945113588761546
27	0.7027427391815148	0.6671141196706896	3.74321171295701e-12	1.7934629573829049e-09	-0.6945113588761546
28	0.7027427391815148	0.6671141196706896	3.74321171295701e-12	1.7934629573829049e-09	-0.6945113588761546
29	0.7027427391815148	0.6671141196706896	3.74321171295701e-12	1.7934629573829049e-09	-0.6945113588761546
30	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
31	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
32	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
33	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
34	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
35	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
36	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
37	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
38	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
39	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
40	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
41	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
42	0.6943478508799766	0.6305187762149714	4.5378183270704795e-12	1.5778615687915962e-09	-0.3585961733838795
43	0.6453037369581899	0.5626057780788182	3.944189174519653e-12	1.2143162292247138e-09	0.7545739200927635
44	0.6453037369581899	0.5626057780788182	3.944189174519653e-12	1.2143162292247138e-09	0.7545739200927635
45	0.6453037369581899	0.5626057780788182	3.944189174519653e-12	1.2143162292247138e-09	0.7545739200927635
46	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
47	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
48	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
49	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
50	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
51	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
52	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
53	0.6273827930939764	0.52307645010582	3.982161102288992e-12	1.131801431919773e-09	0.8698577033758115
54	0.635002895809516	0.5316502155044266	3.8495732038636814e-12	1.1057791600532202e-09	0.7648728264350706
55	0.635002895809516	0.5316502155044266	3.8495732038636814e-12	1.1057791600532202e-09	0.7648728264350706
56	0.635002895809516	0.5316502155044266	3.8495732038636814e-12	1.1057791600532202e-09	0.7648728264350706
57	0.635002895809516	0.5316502155044266	3.8495732038636814e-12	1.1057791600532202e-09	0.7648728264350706
58	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
59	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
60	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
61	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
62	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
63	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
64	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
65	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
66	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
67	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
68	0.6267814556331589	0.5238632200273552	4.126246869622264e-12	1.183626388184166e-09	0.8413821610245638
69	0.6610163154392201	0.5670908091442648	4.000134717205421e-12	2.028997250845383e-09	0.5796015572378886
70	0.7390387030755224	0.7109592198524985	3.0976722963953143e-12	3.424371885549667e-09	-0.2605795860507103
71	0.7390387030755224	0.7109592198524985	3.0976722963953143e-12	3.424371885549667e-09	-0.2605795860507103
72	0.7458600022406405	0.7348073633878076	3.179495828342054e-12	3.1902621517278107e-09	-0.2415934876423356
73	0.7458600022406405	0.7348073633878076	3.179495828342054e-12	3.1902621517278107e-09	-0.2415934876423356
