Step	Sf2	Ss2	tau_f	tau_s	f
0	0.6341105393419224	0.5899912793138775	8.947420187504103e-12	5.664804905470133e-09	0.9256022729509219
1	0.6943033728247482	0.6242719443469987	9.071758796112778e-12	5.986339362827938e-09	0.11782674846943708
2	0.6943033728247482	0.6242719443469987	9.071758796112778e-12	5.986339362827938e-09	0.11782674846943708
3	0.6943033728247482	0.6242719443469987	9.071758796112778e-12	5.986339362827938e-09	0.11782674846943708
4	0.6943033728247482	0.6242719443469987	9.071758796112778e-12	5.986339362827938e-09	0.11782674846943708
5	0.6943033728247482	0.6242719443469987	9.071758796112778e-12	5.986339362827938e-09	0.11782674846943708
6	0.6943033728247482	0.6242719443469987	9.071758796112778e-12	5.986339362827938e-09	0.11782674846943708
7	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
8	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
9	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
10	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
11	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
12	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
13	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
14	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
15	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
16	0.7118723566345897	0.6440092015404295	8.907426192434826e-12	6.004334660328514e-09	-0.5181103740335278
17	0.7134893791526968	0.6456873816515227	8.908329212774302e-12	6.005810165318344e-09	-0.5252981433859119
18	0.7134893791526968	0.6456873816515227	8.908329212774302e-12	6.005810165318344e-09	-0.5252981433859119
19	0.7134893791526968	0.6456873816515227	8.908329212774302e-12	6.005810165318344e-09	-0.5252981433859119
20	0.7134893791526968	0.6456873816515227	8.908329212774302e-12	6.005810165318344e-09	-0.5252981433859119
21	0.7089281506804084	0.635695286388864	9.002847222439673e-12	5.965221045303187e-09	-0.3596066688854247
22	0.7089281506804084	0.635695286388864	9.002847222439673e-12	5.965221045303187e-09	-0.3596066688854247
23	0.7089281506804084	0.635695286388864	9.002847222439673e-12	5.965221045303187e-09	-0.3596066688854247
24	0.7089281506804084	0.635695286388864	9.002847222439673e-12	5.965221045303187e-09	-0.3596066688854247
25	0.7089281506804084	0.635695286388864	9.002847222439673e-12	5.965221045303187e-09	-0.3596066688854247
26	0.8228732458904591	0.7512155930879805	9.116952872267326e-12	6.050252068393836e-09	-0.7904840980405501
27	0.8228732458904591	0.7512155930879805	9.116952872267326e-12	6.050252068393836e-09	-0.7904840980405501
28	0.8228732458904591	0.7512155930879805	9.116952872267326e-12	6.050252068393836e-09	-0.7904840980405501
29	0.8539541960140435	0.8025106773016949	9.044875287402306e-12	5.971314825781467e-09	-0.8731704172115589
30	0.8721367595592862	0.8325186443865464	9.002709418541001e-12	5.9251360112928935e-09	-0.9215424665430964
31	0.8721367595592862	0.8325186443865464	9.002709418541001e-12	5.9251360112928935e-09	-0.9215424665430964
32	0.8721367595592862	0.8325186443865464	9.002709418541001e-12	5.9251360112928935e-09	-0.9215424665430964
33	0.8721367595592862	0.8325186443865464	9.002709418541001e-12	5.9251360112928935e-09	-0.9215424665430964
34	0.8721367595592862	0.8325186443865464	9.002709418541001e-12	5.9251360112928935e-09	-0.9215424665430964
35	0.8721367595592862	0.8325186443865464	9.002709418541001e-12	5.9251360112928935e-09	-0.9215424665430964
36	0.8657922007277635	0.8439060409277036	8.97002622755594e-12	6.260787065233073e-09	-0.9802815891523046
37	0.8601895640055035	0.8597542470854546	8.800143616450448e-12	6.292407552240147e-09	-1.3419218292551558
38	0.8601895640055035	0.8597542470854546	8.800143616450448e-12	6.292407552240147e-09	-1.3419218292551558
39	0.8601895640055035	0.8597542470854546	8.800143616450448e-12	6.292407552240147e-09	-1.3419218292551558
40	0.8590237890688818	0.8600174250231448	8.838622570674302e-12	6.340400956264071e-09	-1.3601540174997275
41	0.8485282339814045	0.8623868348089151	9.185051346142155e-12	6.772489003403226e-09	-1.5242997115568395
42	0.8485282339814045	0.8623868348089151	9.185051346142155e-12	6.772489003403226e-09	-1.5242997115568395
43	0.8485282339814045	0.8623868348089151	9.185051346142155e-12	6.772489003403226e-09	-1.5242997115568395
44	0.8485282339814045	0.8623868348089151	9.185051346142155e-12	6.772489003403226e-09	-1.5242997115568395
45	0.8485282339814045	0.8623868348089151	9.185051346142155e-12	6.772489003403226e-09	-1.5242997115568395
46	0.8432120092972988	0.8610439819234645	8.889530232145624e-12	6.886105324467224e-09	-1.7960027972892743
47	0.8432120092972988	0.8610439819234645	8.889530232145624e-12	6.886105324467224e-09	-1.7960027972892743
48	0.8432120092972988	0.8610439819234645	8.889530232145624e-12	6.886105324467224e-09	-1.7960027972892743
49	0.8431153954598023	0.8728529605069996	8.877221885182285e-12	6.500080464689335e-09	-1.8413177701683283
50	0.8431153954598023	0.8728529605069996	8.877221885182285e-12	6.500080464689335e-09	-1.8413177701683283
51	0.8453694624756342	0.8749275531850366	8.73610577938929e-12	6.289526239634601e-09	-1.8499511246075024
52	0.8453694624756342	0.8749275531850366	8.73610577938929e-12	6.289526239634601e-09	-1.8499511246075024
53	0.8453694624756342	0.8749275531850366	8.73610577938929e-12	6.289526239634601e-09	-1.8499511246075024
54	0.8453694624756342	0.8749275531850366	8.73610577938929e-12	6.289526239634601e-09	-1.8499511246075024
